datetime,year,month,day,hour,region,station_node,latitude,longitude,elevation_m,temp_c,dewpoint_c,vpd_kpa,rh_pct,solar_rad,pressure_kpa,u_wind_10m,v_wind_10m,wind_speed,precip,p_eff_mm,soil_moisture_layer1,soil_moisture_layer2,soil_moisture_layer3,soil_moisture_root,soil_moisture,ndvi,kc_dynamic,modis_et_mm,et0_fao56_mm,et_crop_mm,et_green_mm,et_blue_mm,crop_yield_ton_ha,cwf_green_m3_ton,cwf_blue_m3_ton,cwf_total_m3_ton
2020-07-16 21:00:00,2020,7,16,21,kolhapur,Shirol_Hatkanangle,16.75,74.45,550.0,22.076577758789085,21.320886230468773,0.11984784991656028,95.48812486572473,3.715702,93.44415234375,3.3194580078125,2.038604736328125,3.895473108187245,30.465030670161042,25.895276069636886,0.5059814453125,0.4951019287109375,0.5124053955078125,0.5083219909667969,0.5083219909667969,0.5917685707313954,0.9550054752028101,1.7323664246372776,0.5669445948032554,0.5414351921737476,0.5414351921737476,0.0,105.0,0.051565256397499766,0.0,0.051565256397499766
2020-07-17 00:00:00,2020,7,17,0,kolhapur,Kagal_Dudhganga,16.58,74.32,565.0,22.09760437011721,20.872048950195335,0.19217502257155106,92.77452867853562,3.377356,93.5233828125,3.86370849609375,2.0819854736328125,4.388952819888256,31.201297044749055,26.521102488036696,0.5085296630859375,0.47601318359375,0.51116943359375,0.5036018371582032,0.5036018371582032,0.3646459719940015,0.6332484603248354,1.6558712605189743,0.5087202756083804,0.3221463312650328,0.3221463312650328,0.0,105.0,0.03068060297762217,0.0,0.03068060297762217
2020-07-17 00:00:00,2020,7,17,0,kolhapur,Karveer_Panchganga,16.7,74.3,570.0,22.02729187011721,20.825173950195335,0.18790907561821557,92.90459173720929,3.23132,93.3893828125,3.69085693359375,2.1024932861328125,4.247693835776139,33.01911950110892,28.06625157594258,0.4809417724609375,0.4699554443359375,0.51251220703125,0.5013653564453125,0.5013653564453125,0.4703410967117279,0.7829832203416145,1.619679103376117,0.49063686097732484,0.38416042942632683,0.38416042942632683,0.0,105.0,0.036586707564412076,0.0,0.036586707564412076
2020-07-17 00:00:00,2020,7,17,0,kolhapur,Radhanagari_Bhogavati,16.42,74.05,610.0,21.93354187011721,21.071267700195335,0.13532696342282424,94.86078374689876,2.84352,93.8723828125,3.93695068359375,1.8017120361328125,4.329635890718195,42.48371124267081,36.111154556270186,0.456024169921875,0.4999542236328125,0.4939117431640625,0.49252853393554685,0.49252853393554685,0.6318366567792568,1.0117685971039472,1.5272891033761171,0.4245434268691995,0.42953970741315217,0.42953970741315217,0.0,105.0,0.04090854356315735,0.0,0.04090854356315735
2020-07-17 00:00:00,2020,7,17,0,kolhapur,Shirol_Hatkanangle,16.75,74.45,550.0,22.07221374511721,20.834939575195335,0.19368924683745892,92.70632500880772,3.715702,93.4843828125,3.24749755859375,2.0614776611328125,3.8465478731483347,32.408022880549225,27.54681944846684,0.5126800537109375,0.49810791015625,0.5117645263671875,0.5089607238769531,0.5089607238769531,0.6102522953443492,0.981190751737828,1.7321918640904026,0.5757961130176631,0.5649658209795202,0.5649658209795202,0.0,105.0,0.05380626866471621,0.0,0.05380626866471621
2020-07-17 03:00:00,2020,7,17,3,kolhapur,Kagal_Dudhganga,16.58,74.32,565.0,22.543817138671898,21.503945922851585,0.16780839541792592,93.85954232448697,0.364514,93.65376171875,3.6999359130859375,1.9619293212890625,4.1879222082885965,2.258002758026123,1.9193023443222046,0.5140533447265625,0.4820098876953125,0.510406494140625,0.504698486328125,0.504698486328125,0.35318232539421945,0.6170082943084776,0.9850701712611616,0.07124277040575869,0.04395738024986765,0.04395738024986765,0.0,105.0,0.004186417166654062,0.0,0.004186417166654062
2020-07-17 03:00:00,2020,7,17,3,kolhapur,Karveer_Panchganga,16.7,74.3,570.0,22.561395263671898,21.513711547851585,0.1691924760463639,93.8154977740309,0.332929,93.51576171875,3.4850921630859375,1.9004058837890625,3.9695604175201953,2.482675015926361,2.110273763537407,0.5001678466796875,0.4726104736328125,0.5115203857421875,0.5025546264648437,0.5025546264648437,0.47953553582517844,0.7960086757523361,0.9785538676897331,0.06680978016910223,0.05318116463971175,0.05318116463971175,0.0,105.0,0.0050648728228296904,0.0,0.0050648728228296904
2020-07-17 03:00:00,2020,7,17,3,kolhapur,Radhanagari_Bhogavati,16.42,74.05,610.0,22.155145263671898,21.296914672851585,0.13631057228265497,94.89285685246055,0.312939,94.01576171875,3.9343109130859375,1.9355621337890625,4.384655417998679,4.9758180975914,4.22944538295269,0.4780731201171875,0.500946044921875,0.4954071044921875,0.49535690307617186,0.49535690307617186,0.6079930666464606,0.9779901777491524,0.9577347248325903,0.059893198183741836,0.058574959537682894,0.058574959537682894,0.0,105.0,0.005578567575017419,0.0,0.005578567575017419
2020-07-17 03:00:00,2020,7,17,3,kolhapur,Shirol_Hatkanangle,16.75,74.45,550.0,22.641473388671898,21.558633422851585,0.17545371514217223,93.61771435193911,0.378528,93.60976171875,3.2253265380859375,1.9238433837890625,3.7555165613574877,2.789109945297241,2.370743453502655,0.5199432373046875,0.5038909912109375,0.511260986328125,0.510321044921875,0.510321044921875,0.5987221629556837,0.9648563975205517,0.9921796212611617,0.07448220562804518,0.07186463260166064,0.07186463260166064,0.0,105.0,0.00684425072396768,0.0,0.00684425072396768
2020-07-17 06:00:00,2020,7,17,6,kolhapur,Kagal_Dudhganga,16.58,74.32,565.0,23.216790771484398,21.980828857421898,0.20564433722013442,92.77547311308365,2.300006,93.68516015625,3.528289794921875,1.668212890625,3.902789146930342,5.931288003921509,5.0415948033332825,0.506317138671875,0.4844970703125,0.5106201171875,0.5048330688476562,0.5048330688476562,0.3434548793303168,0.6032277457179488,1.4543872880022333,0.37246659589939146,0.2246821849996281,0.2246821849996281,0.0,105.0,0.021398303333297914,0.0,0.021398303333297914
